S/N,DATE,PRODUCT,UNIT PRODUCED,UNIT COST,SALES PRICE,REVENUE,PROFIT
1,10/1/2023,Dangote Sugar,205,86,183,37515,19885
2,10/2/2023,Golden Penny Flour,190,93,190,36100,18430
3,10/3/2023,Mama Gold Rice,231,85,182,42042,22407
4,10/4/2023,Indomie Noodles,202,72,169,34138,19594
5,10/5/2023,Peak Milk,203,96,193,39179,19691
6,10/6/2023,Power Oil,224,74,171,38304,21728
7,10/7/2023,Kings Vegetable Oil,181,89,186,33666,17557
8,10/8/2023,Blue Band Margarine,188,77,174,32712,18236
9,10/9/2023,Milo,213,98,195,41535,20661
10,10/10/2023,Bournvita,228,71,168,38304,22116
11,10/11/2023,Peak Chocolate,220,81,178,39160,21340
12,10/12/2023,Peak 456 Growing Up Milk,209,95,192,40128,20273
13,10/13/2023,Cowbell Milk,185,73,170,31450,17945
14,10/14/2023,Chocomilo,196,82,179,35084,19012
15,10/15/2023,Geisha Mackerel,183,78,175,32025,17751
16,10/16/2023,Titus Sardines,220,88,185,40700,21340
17,10/17/2023,Maggi Seasoning,1000,76,173,173000,97000
18,10/18/2023,Gino Tomato Paste,212,91,188,39856,20564
19,10/19/2023,Golden Morn,207,84,181,37467,20079
20,10/20/2023,Onga Seasoning,223,99,196,43708,21631
21,10/1/2023,Knorr Cubes,222,92,189,41958,21534
22,10/2/2023,Lipton Tea,219,97,194,42486,21243
23,10/3/2023,Nasco Cornflakes,182,87,184,33488,17654
24,10/4/2023,Nestle Water,196,75,172,33712,19012
25,10/5/2023,La Casera,184,70,167,30728,17848
26,10/6/2023,Lucozade,197,79,176,34672,19109
27,10/7/2023,Maltina,227,94,191,43357,22019
28,10/8/2023,Ribena,225,83,180,40500,21825
29,10/9/2023,Chivita Juice,193,90,187,36091,18721
30,10/10/2023,Bigi Cola,230,80,177,40710,22310
31,10/11/2023,Pepsi,194,100,197,38218,18818
32,10/12/2023,Sprite,189,86,183,34587,18333
33,10/13/2023,Fanta,201,93,190,38190,19497
34,10/14/2023,Coca-Cola,204,85,182,37128,19788
35,10/15/2023,Fayrouz,226,72,169,38194,21922
36,10/16/2023,Amstel Malta,235,96,193,45355,22795
37,10/17/2023,Hollandia Yoghurt,200,74,171,34200,19400
38,10/18/2023,Dano Milk,186,89,186,34596,18042
39,10/19/2023,Peak Yoghurt,198,77,174,34452,19206
40,10/20/2023,Superbite Chips,216,98,195,42120,20952
41,10/21/2023,Mr. Bigg's Meat Pie,189,71,168,31752,18333
42,10/22/2023,Digestive Biscuits,232,81,178,41296,22504
43,10/23/2023,Dangote Salt,207,95,192,39744,20079
44,10/24/2023,Royal Umbrella Rice,199,73,170,33830,19303
45,10/25/2023,Kunu Drink,238,82,179,42602,23086
46,10/26/2023,Tiger Nuts,214,78,175,37450,20758
47,10/27/2023,African Salad (Abacha),184,88,185,34040,17848
48,10/28/2023,Garri,233,76,173,40309,22601
49,10/29/2023,Semovita,191,91,188,35908,18527
50,10/30/2023,Indomie Bellefull,212,84,181,38372,20564
51,10/1/2023,Golden Penny Semovita,208,99,196,40768,20176
52,10/2/2023,Honeywell Wheatmeal,194,92,189,36666,18818
53,10/3/2023,Okomu Oil Palm Oil,201,97,194,38994,19497
54,10/4/2023,Golden Penny Semolina,223,87,184,41032,21631
55,10/5/2023,Honeywell Semolina,221,75,172,38012,21437
56,10/6/2023,Mama's Pride Rice,181,70,167,30227,17557
57,10/7/2023,Nigerian Parboiled Rice,197,79,176,34672,19109
58,10/8/2023,Honeywell Noodles,210,94,191,40110,20370
59,10/9/2023,Minimie Chinchin,239,83,180,43020,23183
60,10/10/2023,Superbite Plantain Chips,185,90,187,34595,17945
61,10/11/2023,Kpomo (Cow Skin),220,80,177,38940,21340
62,10/12/2023,Dried Fish,186,100,197,36642,18042
63,10/13/2023,Stockfish,206,94,191,39346,19982
64,10/14/2023,Bonga Fish,236,78,175,41300,22892
65,10/15/2023,Bama Mayonnaise,226,87,184,41584,21922
66,10/16/2023,Pure Bliss Biscuits,183,71,168,30744,17751
67,10/17/2023,Golden Penny Pasta,229,83,180,41220,22213
68,10/18/2023,Power Pasta,211,96,193,40723,20467
69,10/19/2023,Mama's Pride Beans,210,72,169,35490,20370
70,10/20/2023,Golden Penny Beans,231,89,186,42966,22407
71,10/21/2023,Ovaltine,195,79,176,34320,18915
72,10/22/2023,Milo Energy Cubes,204,70,167,34068,19788
73,10/23/2023,Koko Krunch,225,88,185,41625,21825
74,10/24/2023,Champion Cornflakes,182,95,192,34944,17654
75,10/25/2023,Golden Morn,237,74,171,40527,22989
76,10/26/2023,Golden Penny Oil,207,81,178,36846,20079
77,10/27/2023,Delta Soap,232,90,187,43384,22504
78,10/28/2023,Premier Toilet Tissue,202,73,170,34340,19594
79,10/29/2023,Dettol Antiseptic,229,84,181,41449,22213
80,10/30/2023,Morning Fresh Dishwashing Liquid,193,77,174,33582,18721
81,10/31/2023,Ariel Detergent,189,93,190,35910,18333
82,11/1/2023,Sunlight Soap,200,76,173,34600,19400
83,11/2/2023,Venus Razor Blades,227,98,195,44265,22019
84,11/3/2023,Vaseline Petroleum Jelly,182,91,188,34216,17654
85,11/4/2023,Peak Chocolate Spread,219,82,179,39201,21243
86,11/5/2023,Chivita Active Juice,191,99,196,37436,18527
87,11/6/2023,Devon King's Cooking Oil,203,85,182,36946,19691
88,11/7/2023,Mr. Chef Seasoning,218,75,172,37496,21146
89,11/8/2023,Tiger Seasoning,205,97,194,39770,19885
90,10/1/2023,Thousand Island Dressing,233,86,183,42639,22601
91,10/2/2023,Dano Cool Cow Milk,221,80,177,39117,21437
92,10/3/2023,Waw Drinking Water,216,92,189,40824,20952
93,10/4/2023,PZ Cussons Baby Products,185,81,178,32930,17945
94,10/5/2023,Dufil Prima Foods Products,237,76,173,41001,22989
95,10/6/2023,Blue Boat Fresh Fish,195,88,185,36075,18915
96,10/7/2023,Bigi Soft Drinks,188,97,194,36472,18236
97,10/8/2023,Zobo Leaves,208,70,167,34736,20176
98,10/9/2023,Egusi,221,95,192,42432,21437
99,10/10/2023,Efo Riro Vegetables,224,74,171,38304,21728
100,10/11/2023,Dried Ugu Leaves,198,89,186,36828,19206
101,10/12/2023,Pepper Soup Spices,196,73,170,33320,19012
102,10/13/2023,Nigerian Yam,188,79,176,33088,18236
103,10/14/2023,Plantains,204,91,188,38352,19788
104,10/15/2023,Pounded Yam Flour,236,84,181,42716,22892
105,10/16/2023,Egusi Soup Ingredients,222,72,169,37518,21534
106,10/17/2023,Ogbono Soup Ingredients,214,86,183,39162,20758
107,10/18/2023,Groundnut Oil,193,99,196,37828,18721
108,10/19/2023,Onions,216,75,172,37152,20952
109,1/14/2024,Tomatoes,189,93,190,35910,18333
110,1/15/2024,Nigerian Spices,230,78,175,40250,22310
111,1/16/2024,Bottled Palm Wine,225,70,167,37575,21825
112,1/17/2024,Kilishi (Dried Meat),211,83,180,37980,20467
113,1/18/2024,Suya Spices,220,92,189,41580,21340
114,1/19/2024,Nigerian Snacks (Chin Chin,202,71,168,33936,19594
115,1/20/2024,Local Snacks (Kuli Kuli,212,87,184,39008,20564
116,1/21/2024,Local Herbs and Remedies,234,96,193,45162,22698
117,1/22/2024,Nigerian Sweets and Candies,203,80,177,35931,19691
118,1/23/2024,Dangote Sugar,234,98,195,45630,22698
119,1/24/2024,Golden Penny Flour,190,82,179,34010,18430
120,1/25/2024,Mama Gold Rice,183,70,167,30561,17751
121,1/26/2024,Indomie Noodles,213,90,187,39831,20661
122,1/27/2024,Peak Milk,208,94,191,39728,20176
123,1/28/2024,Power Oil,182,77,174,31668,17654
124,1/29/2024,Kings Vegetable Oil,231,85,182,42042,22407
125,1/30/2024,Blue Band Margarine,223,72,169,37687,21631
126,1/31/2024,Milo,210,89,186,39060,20370
127,2/1/2024,Bournvita,238,96,193,45934,23086
128,2/2/2024,Peak Chocolate,194,70,167,32398,18818
129,2/3/2024,Peak 456 Growing Up Milk,232,74,171,39672,22504
130,2/4/2024,Cowbell Milk,215,81,178,38270,20855
131,2/5/2024,Chocomilo,229,98,195,44655,22213
132,2/6/2024,Geisha Mackerel,198,76,173,34254,19206
133,2/7/2024,Titus Sardines,196,94,191,37436,19012
134,2/8/2024,Maggi Seasoning,227,72,169,38363,22019
135,2/9/2024,Gino Tomato Paste,207,82,179,37053,20079
136,2/10/2024,Golden Morn,217,85,182,39494,21049
137,2/11/2024,Onga Seasoning,184,91,188,34592,17848
138,2/12/2024,Knorr Cubes,235,70,167,39245,22795
139,2/13/2024,Lipton Tea,199,89,186,37014,19303
140,2/14/2024,Nasco Cornflakes,203,77,174,35322,19691
141,2/15/2024,Nestle Water,186,93,190,35340,18042
142,2/16/2024,La Casera,206,73,170,35020,19982
143,2/17/2024,Lucozade,236,100,197,46492,22892
144,2/18/2024,Maltina,226,88,185,41810,21922
145,2/19/2024,Ribena,183,79,176,32208,17751
146,2/20/2024,Chivita Juice,229,95,192,43968,22213
147,2/21/2024,Bigi Cola,211,84,181,38191,20467
148,2/22/2024,Pepsi,210,78,175,36750,20370
149,2/23/2024,Sprite,231,97,194,44814,22407
150,2/24/2024,Fanta,195,82,179,34905,18915
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
